NAME,AMI,GEN,TOB,KAN,MET,PEN,VAN,TEC,CLI,ERY,MUP,LNZ,TCY,TMP,DAP,RIF,CIP,MFX
USFL117,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL318,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL011,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL055,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL124,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL212,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL173,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL308,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL014,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL054,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL101,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL082,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL130,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL293,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL264,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL225,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL200,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL280,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL210,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
FL385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL036,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL329,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL326,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL381,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0
USFL208,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL023,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL362,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL105,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL222,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
FL363,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL349,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL144,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL311,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL172,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL262,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL110,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL227,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0
USFL118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USFL020,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
USFL288,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL320,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
FL356,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
FL382,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
USFL095,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL239,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USFL340,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
USFL219,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
USFL115,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
